sample	number	mean_CD	mean_GQ	mean_MRR
S0156	6647	50.88	78.18	0.06
S0160	6699	52.14	80.14	0.06
S0170	6690	50.4	77.88	0.06
S0172	6679	47.97	77.46	0.06
S0225	6633	49.37	78.42	0.05
S0229	6667	50.58	78.07	0.06
S0237	6640	48.73	77.07	0.06
S0243	6630	51.94	77.97	0.05
S0258	6615	43.59	75.12	0.05
S0267	6713	53.21	77.82	0.06
S0269	6635	48.13	76.82	0.06
S0280	6574	44.22	74.94	0.05
S0287	6595	45.66	75.84	0.05
S0290	6540	48.14	76.81	0.05
S0306	6531	46.43	76.17	0.05
S0307	6480	44.97	74.88	0.05
S0322	6164	21.29	52.54	0.05
S0325	6499	32.81	66.41	0.05
S0330	6447	40.39	71.92	0.05
S0347	6600	49.91	76.72	0.06
S0349	6520	51.31	76.98	0.05
S0376	6612	56.93	80.3	0.06
S0400	6686	57.88	80.18	0.05
S0404	6669	54.4	79.28	0.05
S0406	6614	59.71	80.79	0.06
S0416	6630	47.38	77.22	0.06
S0428	6660	42.96	75.34	0.05
S0437	6669	44.98	76.09	0.05
S0439	6604	42.61	74.65	0.05
S0445	6431	37	71.56	0.05
S0466	6622	42.81	75.03	0.05
S0469	6584	44.09	75.82	0.05
S0490	6480	44.24	74.45	0.05
S0492	6391	42.29	75.21	0.05
S0494	6626	53.31	78.51	0.05
S0497	6411	43.95	75.27	0.05
S0552	6284	31.53	64.61	0.05
S0620	5874	27.41	61.53	0.05
S0631	5421	19.55	48.21	0.04
S0650	6118	25.78	59.53	0.04
S0653	6367	38.3	71.06	0.05
S0659	6275	34.57	68.33	0.04
S0671	5696	25.95	58.6	0.05
S0682	6184	32.26	66.34	0.05
S0693	5553	23.94	54.88	0.05
S0732	6016	27.32	60.3	0.05
S0761	6254	33.48	67.15	0.05
S0791	5658	23.36	54.61	0.04
S0812	6265	35.07	67.53	0.05
S0837	6368	30.81	65.2	0.05
S0867	6230	33.51	68.13	0.05
S0935	6890	58.59	80.97	0.06
S0940	6083	25.98	59.9	0.05
S0944	6970	62.88	81.45	0.06
S0947	5910	26.66	60.36	0.05
S0956	6196	31.84	65.87	0.05
S0958	6253	36.46	70.23	0.05
S1003	6980	65.48	81.23	0.06
S1041	6873	63.14	81.85	0.06
S1054	6887	59.1	79.33	0.06
S1071	5796	26.52	59.44	0.05
S1109	5532	21.48	51.52	0.04
S1123	5894	27.61	59.7	0.04
S1132	6770	47.27	76.65	0.05
S1156	6962	64.67	80.76	0.06
S1168	7004	74.5	82.75	0.06
S1169	6209	35.45	69.34	0.05
S1193	7060	73.39	84.49	0.06
S1205	7004	70.09	81.24	0.06
S1208	6928	54.95	80.07	0.06
S1211	6941	69.31	82.81	0.06
S1214	6999	63.11	80.66	0.06
S1217	7039	76.05	83.12	0.06
S1218	6270	32.19	65.56	0.04
S1219	7080	78.32	84.87	0.06
S1220	6934	61.89	80.86	0.05
S1228	6232	36.71	70.06	0.05
S1231	5601	23.23	54.44	0.04
S1232	6218	33.29	66.86	0.05
S1240	6949	63.43	80.97	0.06
S1254	7048	74.9	82.87	0.06
S1259	6998	73.05	82.55	0.06
S1273	7039	72.59	83.98	0.06
S1292	5732	23.51	55.13	0.04
S1319	6981	61.58	80.03	0.05
S1327	6277	28.28	62.67	0.05
S1361	6306	35.11	68.54	0.05
S1364	6229	35.15	69.5	0.05
S1366	6933	64.71	82.16	0.06
S1368	6200	33.86	68.19	0.05
S1374	5688	25.23	56.72	0.04
S1424	6935	60.91	81.38	0.06
S1448	6304	36.88	70.05	0.05
S1494	5617	22.7	53.51	0.04
S1503	5929	29.03	61.91	0.05
S1536	6346	35.27	69.35	0.05
