sample	number	mean_CD	mean_GQ	mean_MRR
S0156	25855	34.09	84.61	0.02
S0160	25903	26.7	69.27	0.02
S0170	25877	28.1	73.63	0.02
S0172	25968	24.51	65.54	0.02
S0225	25853	36.71	87.83	0.02
S0229	25839	28.45	74.92	0.02
S0237	25889	30	79.85	0.02
S0243	25767	27.23	72.89	0.02
S0258	25923	25.57	68.07	0.02
S0267	25868	23.42	62.06	0.02
S0269	25897	25.06	67.46	0.02
S0280	26072	25.63	68.93	0.02
S0287	26119	26.58	70.82	0.02
S0290	25912	34.86	87.23	0.02
S0306	25910	28.8	76.77	0.02
S0307	25815	24.31	65.07	0.02
S0322	28084	23.96	65.57	0.03
S0325	26669	23.57	63.6	0.02
S0330	26510	26.22	70.09	0.02
S0347	26025	29.96	78.88	0.02
S0349	26047	26.6	70.96	0.02
S0376	26084	24.94	66.81	0.02
S0400	26141	30.94	82.25	0.02
S0404	25971	24.46	64.52	0.02
S0406	26008	28.95	76.49	0.02
S0416	26164	28.79	74.01	0.02
S0428	26194	23.88	64.59	0.02
S0437	26149	25.93	69.45	0.02
S0439	26184	24.41	65.76	0.02
S0445	26252	37.41	88.02	0.02
S0466	26276	28.01	75.61	0.02
S0469	26087	34.76	85.53	0.02
S0490	26530	25.44	67.56	0.02
S0492	26555	37.05	87.94	0.02
S0494	26496	26.9	72.12	0.02
S0497	26470	32.03	83.61	0.02
S0552	28094	28.7	76.57	0.02
S0620	27210	32.34	83.31	0.02
S0631	32018	30.09	80.77	0.03
S0650	27479	24.67	66.63	0.02
S0653	26552	22.56	60.61	0.02
S0659	26470	24.02	63.53	0.02
S0671	28692	28.84	76.58	0.03
S0682	26884	34.43	88.67	0.02
S0693	30143	22.31	61.29	0.03
S0732	27478	30.53	79.79	0.02
S0761	26711	28.01	75.18	0.02
S0791	30261	23.22	63.46	0.03
S0812	27068	29	75.31	0.02
S0837	26896	24.39	64.76	0.02
S0867	26945	31.44	80.86	0.02
S0935	25464	34.21	88.43	0.02
S0940	27565	26.83	71.98	0.02
S0944	25374	31.32	81.3	0.02
S0947	27543	26.18	71.1	0.02
S0956	26971	32.02	80.34	0.02
S0958	26444	29.55	76.14	0.02
S1003	25266	29.77	75.9	0.02
S1041	25369	29.99	78.36	0.02
S1054	25489	31.67	83.89	0.02
S1071	28344	26.65	72	0.03
S1109	31006	29.64	79.15	0.03
S1123	28502	27.64	75.35	0.03
S1132	25322	23.87	62.45	0.02
S1156	25245	24.92	65.66	0.02
S1168	25181	35.02	84.87	0.02
S1169	26581	29.02	75.59	0.02
S1193	25141	26.82	72.04	0.02
S1205	25409	28.75	75.47	0.02
S1208	25394	30.17	79.08	0.02
S1211	25327	30.08	79.51	0.02
S1214	25281	31.73	79.07	0.02
S1217	25159	25.66	68.14	0.02
S1218	25609	24.58	65.89	0.02
S1219	25084	26.62	70.66	0.02
S1220	25507	25.71	68.37	0.02
S1228	26353	29.73	78.43	0.02
S1231	29860	29.16	78.77	0.03
S1232	25801	27.81	74.78	0.02
S1240	25330	22.75	62.15	0.02
S1254	25101	23.34	62.24	0.02
S1259	25110	24.46	65.29	0.02
S1273	25092	29.83	78	0.02
S1292	30194	23.45	65.14	0.03
S1319	25541	29.76	78.58	0.02
S1327	27124	27.26	73.73	0.02
S1361	26742	27.15	73.49	0.02
S1364	26784	30.13	79.49	0.02
S1366	25466	23.66	63.77	0.02
S1368	26540	25.17	67.17	0.02
S1374	29589	23.89	65.08	0.03
S1424	25387	26.74	70.94	0.02
S1448	26655	28.87	76.12	0.02
S1494	30711	30.2	81.58	0.03
S1503	28259	27.55	74.56	0.03
S1536	26512	26.23	69.69	0.02
