sample	number	mean_CD	mean_GQ	mean_MRR
S0156	120183	59.33	91.93	0.07
S0160	120149	59.25	92.34	0.07
S0170	120217	61.18	91.15	0.07
S0172	120062	54.02	91.17	0.07
S0225	120156	56.5	91.84	0.07
S0229	120182	55.31	91.87	0.07
S0237	120124	51.55	90.86	0.07
S0243	120247	55.83	91.78	0.07
S0258	119984	46.95	89.45	0.07
S0267	120195	53.9	90.49	0.07
S0269	120110	51.37	90.76	0.07
S0280	119885	47.11	88.59	0.06
S0287	119881	45.88	87.85	0.06
S0290	120013	52.32	90.33	0.07
S0306	120005	53.32	90.28	0.07
S0307	119973	51.42	89.26	0.07
S0322	117442	23.5	63.93	0.06
S0325	119146	35.04	80.19	0.06
S0330	119304	41.66	85.31	0.06
S0347	119956	52.75	90.15	0.07
S0349	119880	55.14	90.48	0.07
S0376	119879	61.98	92.35	0.07
S0400	119957	61.3	92.08	0.07
S0404	119980	61.91	92.19	0.07
S0406	119967	66.29	92.63	0.07
S0416	119762	50.71	90.21	0.07
S0428	119778	46.98	88.95	0.07
S0437	119866	49.84	89.83	0.07
S0439	119758	45.57	88.09	0.06
S0445	119597	44.46	86.73	0.06
S0466	119715	45.16	88.13	0.06
S0469	119818	49.67	89.34	0.06
S0490	119362	51.59	88.96	0.06
S0492	119210	52.81	89.07	0.07
S0494	119522	58.1	91.04	0.07
S0497	119328	53.19	89.36	0.07
S0552	117607	35.85	77.18	0.06
S0620	118034	36.47	79.91	0.06
S0631	112774	26.47	64.12	0.05
S0650	117968	33.09	75.06	0.06
S0653	119121	48.99	86.37	0.06
S0659	119125	45.73	85.37	0.06
S0671	116403	34.08	74.28	0.06
S0682	118720	42.61	82.33	0.06
S0693	114773	29.94	68.99	0.06
S0732	117974	33.81	75.72	0.06
S0761	118964	44.3	83.47	0.06
S0791	114737	31.21	69.61	0.06
S0812	118554	45.58	82.82	0.06
S0837	118822	39.04	79.75	0.06
S0867	118680	43.32	83.6	0.06
S0935	120843	61.05	93.49	0.07
S0940	117928	33.06	74.74	0.06
S0944	120984	66.39	94.12	0.07
S0947	117718	35.69	78.21	0.06
S0956	118607	41.98	82.81	0.06
S0958	119222	47.71	86.27	0.06
S1003	121080	67.55	94.25	0.07
S1041	120881	71.26	94.79	0.07
S1054	120813	58.88	91.93	0.07
S1071	116809	35.51	75.7	0.06
S1109	113914	29	67.75	0.05
S1123	116757	37.96	76.28	0.06
S1132	120718	54.78	91.77	0.07
S1156	121044	62.94	92.53	0.07
S1168	121196	77.91	95.41	0.07
S1169	118993	46.82	85.64	0.06
S1193	121302	76.18	95.55	0.07
S1205	120926	69.88	94.04	0.07
S1208	120875	58.99	93.17	0.07
S1211	121029	72.63	94.89	0.07
S1214	121078	63.47	93.97	0.07
S1217	121229	78.85	95.42	0.07
S1218	120022	39.37	82.7	0.06
S1219	121392	86.7	96.26	0.07
S1220	120772	62.41	93.32	0.06
S1228	119265	48.91	86.85	0.06
S1231	115114	30.32	69.82	0.06
S1232	119803	40.44	83.69	0.06
S1240	120961	66.43	94.09	0.07
S1254	121251	76.3	95.3	0.07
S1259	121255	79	95.7	0.07
S1273	121336	81.01	96.08	0.07
S1292	114917	31.83	70.36	0.06
S1319	120813	61.83	92.77	0.07
S1327	118520	35.88	77.3	0.06
S1361	118931	46.16	84.01	0.06
S1364	118821	45.65	85.14	0.06
S1366	120803	64.98	93.84	0.07
S1368	118983	44.46	84.98	0.06
S1374	115433	32.47	71.05	0.06
S1424	120950	63.37	93.8	0.07
S1448	119001	47.57	85.84	0.06
S1494	114282	30.83	69.09	0.06
S1503	117031	39.32	77.17	0.06
S1536	119165	47.01	84.53	0.06
