sample	number	mean_CD	mean_GQ	mean_MRR
S0156	117234	59.11	92.5	0.06
S0160	117244	58.83	92.85	0.06
S0170	117295	60.99	91.71	0.07
S0172	117144	53.72	91.72	0.07
S0225	117262	56.28	92.38	0.06
S0229	117178	54.92	92.43	0.07
S0237	117208	51.13	91.37	0.07
S0243	117262	55.39	92.32	0.06
S0258	117115	46.6	89.95	0.06
S0267	117254	53.27	91.01	0.07
S0269	116842	49.21	90.73	0.06
S0280	116355	41.33	86	0.06
S0287	116409	41.02	85.59	0.06
S0290	116422	44.79	87.88	0.06
S0306	116426	45.55	87.62	0.06
S0307	116268	43.29	85.77	0.06
S0322	112838	17.9	52.21	0.05
S0325	115075	29.68	74.06	0.06
S0330	115608	36.31	81.57	0.06
S0347	116189	45.8	88.01	0.06
S0349	116247	48.5	88.73	0.06
S0376	116271	54.48	91.27	0.07
S0400	116185	54.28	91.02	0.06
S0404	116144	53.89	90.93	0.06
S0406	116282	58.63	91.72	0.06
S0416	115897	43.7	87.79	0.06
S0428	115917	41.18	86.32	0.06
S0437	115980	43.05	87.23	0.06
S0439	115951	39.31	84.9	0.06
S0445	115535	35.78	80.35	0.06
S0466	115733	39.12	84.92	0.06
S0469	115801	41.89	85.82	0.06
S0490	114650	41.18	84.15	0.06
S0492	114568	40.92	83.25	0.06
S0494	115186	49.36	88.95	0.06
S0497	114679	41.56	84.25	0.06
S0552	113759	30.4	71.64	0.05
S0620	112441	19.05	54.8	0.05
S0631	104621	16.7	47.37	0.04
S0650	113599	22.89	61.17	0.05
S0653	114781	36.41	79.09	0.06
S0659	114731	31.75	75.15	0.06
S0671	110076	22.44	57.7	0.05
S0682	114483	29.71	71.26	0.06
S0693	107067	20.46	53.64	0.05
S0732	113325	21.93	59.55	0.05
S0761	114644	30.48	72.53	0.06
S0791	108192	21.26	55.89	0.05
S0812	114151	35.16	74.33	0.06
S0837	114820	30.54	71.53	0.06
S0867	114099	31.01	73.25	0.05
S0935	117342	53.19	92.32	0.07
S0940	113298	21.98	59.29	0.05
S0944	117451	57.56	93.2	0.07
S0947	112291	19.65	55.75	0.05
S0956	113723	27.42	69.14	0.05
S0958	114791	31.74	75.37	0.06
S1003	117510	57.82	93.14	0.07
S1041	117311	60.86	94.11	0.07
S1054	117253	51.88	90.45	0.07
S1071	110978	23.79	59.97	0.05
S1109	105857	17.58	49.38	0.05
S1123	111352	25.59	63.02	0.05
S1132	117299	45.8	89.07	0.06
S1156	117531	56.18	91.33	0.06
S1168	117691	67.56	94.98	0.07
S1169	114439	31.27	74.69	0.06
S1193	117775	66.71	95.08	0.07
S1205	117367	61.82	93.38	0.07
S1208	117400	51.69	91.98	0.07
S1211	117535	63.54	94.27	0.06
S1214	117603	55.81	93.11	0.07
S1217	117768	69.05	94.95	0.07
S1218	116164	24.46	63.39	0.06
S1219	117500	41.74	88.21	0.06
S1220	116651	34.23	80.58	0.06
S1228	114398	27.89	70.58	0.06
S1231	107402	20.65	54.28	0.05
S1232	115101	23	60.91	0.06
S1240	116768	30.93	77.08	0.06
S1254	117126	32.31	78.83	0.06
S1259	116862	26.39	70.84	0.06
S1273	117079	27.36	72.75	0.06
S1292	107928	20.49	54.82	0.05
S1319	115869	23.02	63.34	0.06
S1327	111644	21.49	57.49	0.05
S1361	109858	22.49	58.72	0.05
S1364	111579	19.12	54.49	0.05
S1366	115661	20.1	58.03	0.06
S1368	108447	12.15	37.62	0.04
S1374	91112	7.71	24.77	0.03
S1424	117393	55.34	92.88	0.06
S1448	114501	33.97	77.13	0.06
S1494	107275	20.55	54.7	0.05
S1503	111851	27.57	65.32	0.05
S1536	115077	34.31	75.98	0.06
